search_id,session_id,searched_at,pickup_location,dropoff_location,pickup_date,dropoff_date,car_category,num_results,partner_id_clicked,price_shown
18142ddc-fa64-4607-83dc-997d2b584915,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:27,Bogotá,Buenos Aires,2025-04-02,2025-06-21,compact,31,PRT0006,236.23
87687f02-8b7d-4669-9e5d-169956a0f55e,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:10,FLORIANÓPOLIS,Buenos Aires,2025-06-16,2025-06-07,pickup,8,PRT0008,516.68
62624fa7-6623-4373-86cb-3f5b8eb2f0d5,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:26,Salvador,São Paulo,2025-04-06,2025-06-24,economy,4,,794.63
8a14920b-e351-4b14-a3fa-cb4a1f7cbfa0,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:08,Curitiba,Salvador,2025-05-23,2025-07-02,luxury,,,308.39
b31b5e24-0c48-4a80-9d31-e97ee4a138c1,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:29,Brasília,,2025-05-14,,compact,6,PRT0009,227.51
c65caef5-819b-4768-8993-893fb0decde6,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:18,Lima,Cancún,2025-04-05,,,38,PRT0017,73.7
69470de9-23d9-4d7a-bb8b-1c62560bd5f6,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:38,Fortaleza,Buenos Aires,2025-04-08,2025-06-09,suv,6,PRT0018,
fad177c6-a275-4768-a34e-c53f59f7c6e3,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:06,São paulo,Rio de Janeiro,2025-06-29,2025-04-09,suv,31,PRT0013,246.85
453c32a6-44ef-4261-a9d4-7e310e6a8d8d,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:13,Brasília,Manaus,2025-05-05,2025-06-14,luxury,40,PRT0018,635.95
0e7d8110-c941-4303-9b3b-de8b4a252598,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:11,São paulo,,2025-06-16,,economy,12,PRT0013,515.99
469fa9a4-cb42-4063-8146-10e6257b7021,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:45:49,FLORIANÓPOLIS,Lima,2025-06-10,2025-07-09,minivan,1,PRT0007,274.43
50f07bc1-8ded-42fd-ac25-0cda1e2a6e5b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:25,Lima,,2025-04-30,2025-06-21,economy,35,PRT0020,324.23
98138382-5d37-4d93-877c-f47f69d389bd,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:45:50,Fortaleza,Belo Horizonte,2025-06-25,2025-06-13,pickup,23,PRT0005,413.91
fa968aaa-8d31-4b70-bcd6-2c96f381335b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:13,Buenos Aires,Lima,2025-05-15,2025-04-26,suv,13,PRT0005,
e620aa73-f99a-429e-899d-84f1e8cfe486,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:16,Lima,,2025-06-19,2025-04-27,luxury,28,PRT0007,393.68
9f92f384-a2cc-4e2d-a5a1-45642d4700b3,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:33,rio de janeiro,Curitiba,2025-06-25,2025-04-11,pickup,12,,465.42
965a37a2-7262-4065-b5e5-00df322cd446,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:19,Manaus,Rio de Janeiro,2025-06-29,2025-06-15,minivan,1,PRT0016,
bc099247-ad36-464d-8712-ae5e2e4010f6,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:08,Santiago,,2025-06-02,2025-07-09,compact,17,PRT0018,335.13
132d230c-584f-4ce7-bf68-69dd18d6529b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:32,rio de janeiro,,2025-04-12,2025-07-05,pickup,27,,430.62
987b9ec4-1520-44a3-b4ab-2d5dfbec45d9,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:21,Cancún,Recife,2025-06-23,2025-05-10,luxury,20,PRT0020,157.35
ac6f9e51-e517-4051-87bd-bdac4753384e,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:17,Manaus,,2025-04-24,2025-05-16,economy,4,,95.14
cc8bf236-7d88-4902-9e94-3f849853b896,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:11,Fortaleza,Cancún,2025-04-11,2025-04-18,luxury,19,PRT0002,575.55
31197f91-e140-494b-ab6e-0b8ce7f027a7,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:53,São paulo,São paulo,2025-05-19,2025-04-09,luxury,17,PRT0020,505.77
71caa080-3361-4514-9c8f-248faeba501f,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:43,Brasília,Recife,2025-06-17,2025-07-05,suv,33,,
416a59ed-2d79-4c9d-a845-fd1c4d312175,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:18,Brasília,Brasília,2025-05-02,2025-06-09,compact,19,PRT0013,559.36
b9e2aebd-c00c-4805-b27d-2f7d9a54b01a,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:42,São Paulo,São Paulo,2025-05-14,2025-04-26,compact,38,PRT0003,639.28
cc5a8114-bf80-4877-87fb-c39126972b41,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:40,Florianópolis,Recife,2025-06-19,2025-05-05,minivan,37,,305.35
7a42cb15-0b4b-4b52-ab7f-b90413852973,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:00,Florianópolis,Belo Horizonte,2025-06-18,2025-05-07,,33,,688.59
ccd8c11e-e522-43a4-b178-de70547002ed,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:14,Buenos Aires,Buenos Aires,2025-06-06,2025-04-01,luxury,32,,627.84
58761fab-beb3-4a22-aa19-d13e268d70a0,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:58,Cancún,rio de janeiro,2025-04-04,2025-07-04,suv,,PRT0004,510.53
5b4a9ae0-dadd-4c21-88ed-8448b692914a,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:13,Buenos Aires,São paulo,2025-04-17,2025-05-25,compact,6,PRT0015,
bd6638ee-5c7a-48e5-9b4a-1b40aa1c3637,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:47,Lima,FLORIANÓPOLIS,2025-05-26,2025-05-25,suv,8,PRT0005,688.86
28d40a72-e7dc-4842-8a59-76c76059781b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:19,São Paulo,São paulo,2025-05-12,2025-05-29,suv,7,,
a6f76a82-6a02-4eda-9c65-ffeee658ce60,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:44,Salvador,São Paulo,2025-04-30,2025-04-03,pickup,36,PRT0016,257.23
5fbb1242-6ed0-4db4-9da1-57f9e3526a93,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:31,Fortaleza,Cancún,2025-06-05,2025-05-16,compact,11,,
066c3b15-4354-4235-beaf-328943fae5de,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:22,Fortaleza,,2025-05-13,2025-04-10,luxury,10,,176.98
ad2ee0b1-f34c-417f-905d-14c42d99a779,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:14,São paulo,Brasília,2025-06-03,2025-04-10,minivan,24,PRT0011,578.3
6eedda01-842f-4194-aa53-179ab00b4ed1,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:41,Florianópolis,Salvador,2025-05-27,2025-04-29,luxury,23,PRT0003,649.18
7b4d54d7-a97e-42b0-ac13-ea4b03797404,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:17,Salvador,Recife,2025-06-13,2025-05-05,economy,32,PRT0012,108.16
867ca0ac-35a6-43f9-94ac-4e40e91560f1,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:11,Florianópolis,Florianópolis,2025-04-21,2025-07-07,luxury,4,PRT0001,
ead9bf8e-36aa-4316-81e1-6a2e4b41e904,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:06,Salvador,São paulo,2025-06-25,2025-04-03,suv,25,,302.59
00da6db9-de77-49d1-b76d-af8e9d34d77c,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:36,Brasília,Bogotá,2025-04-08,2025-04-26,suv,27,PRT0014,594.04
7048dea8-c53d-4f93-9b49-a3d90b671ea4,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:45:46,FLORIANÓPOLIS,,2025-04-29,2025-04-04,suv,30,,
94ccc43a-1c64-40c7-adff-38bbc09a1129,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:36,Cancún,,2025-05-19,2025-06-19,suv,33,,411.14
34592eab-6eb0-483e-a38f-d129a9899439,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:11,Belo Horizonte,Recife,2025-04-13,2025-04-23,minivan,1,,
adb02a7d-df3a-4fd4-b879-148000061cd7,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:20,Rio de Janeiro,,2025-04-12,2025-06-02,,7,PRT0013,183.71
b9f118c2-1ebd-47fc-8e94-633b8e40b143,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:33,Lima,,2025-05-20,2025-06-17,minivan,18,,492.0
0733c62a-b299-4de6-96e2-84e28c59e0e0,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:19,FLORIANÓPOLIS,São Paulo,2025-04-30,2025-07-04,,12,PRT0001,215.97
f69c4624-f840-403a-94fc-458f6e24b5f3,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:45:56,São Paulo,,2025-04-22,2025-05-24,compact,15,PRT0019,86.28
1c31c661-654d-44d1-a6c2-22c2d9f8de64,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:52,Curitiba,Florianópolis,2025-04-05,2025-05-06,luxury,12,PRT0020,685.22
4cff92b7-1809-4170-b73a-c03d0f075547,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:09,São Paulo,Buenos Aires,2025-04-01,2025-06-06,compact,15,,404.24
f5eb6361-9241-4ab3-a7ec-a7cacdc92e29,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:53,Lima,rio de janeiro,2025-05-07,2025-05-31,compact,23,PRT0015,112.65
016a05ac-0ec2-4fda-9dcd-0446c6221f39,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:40,São paulo,Rio de Janeiro,2025-05-30,2025-06-29,suv,27,PRT0020,641.14
8aa50b82-6151-4c9f-87fa-815e808b60b6,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:19,Manaus,,2025-06-07,2025-06-20,luxury,10,PRT0002,150.36
19a6728d-b3d9-461d-935d-aa1f66f60a77,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:48:45,Brasília,Recife,2025-05-09,2025-05-13,pickup,,PRT0013,492.32
017df6da-938b-4182-93b8-97ca5fd45b09,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:15,Belo Horizonte,rio de janeiro,2025-04-11,2025-07-09,economy,29,PRT0007,662.38
0f917028-c7c2-4321-afa0-c6553b4f43fb,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:56,São paulo,Bogotá,2025-05-04,2025-05-23,economy,30,,212.85
e47f9027-e18b-46bc-bef0-e76007863f9b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:49:13,Recife,Bogotá,2025-04-25,2025-04-07,economy,17,,297.42
cbe69171-9f1a-48c0-b25e-6de661d99235,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:27,São paulo,,2025-06-28,2025-07-02,pickup,0,PRT0015,439.9
9ff9ed72-a94e-4483-92af-d21ad16682c0,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:41,Rio de Janeiro,São paulo,2025-05-02,2025-06-04,,40,,539.65
4fa26c62-e338-4c45-b101-03a2fb83514c,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:45,São paulo,Salvador,2025-06-10,2025-04-11,economy,24,PRT0014,608.81
938125d9-cfcf-4594-b8aa-5d44eb691ef3,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:49,Manaus,Curitiba,2025-05-05,2025-06-02,suv,9,,502.57
16e34884-5a77-4626-8cb1-3f6989991275,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:41,Salvador,Curitiba,2025-04-02,2025-04-12,economy,17,PRT0020,577.71
f8ed98bb-a997-4203-a585-ec73230cbb0a,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:47:21,São paulo,rio de janeiro,2025-06-02,2025-06-09,economy,38,,535.92
2d693bd2-6bac-4c0a-a8f2-107c2cca7b7b,28b5b573-835b-44a5-8b46-acd4e99b6d26,2025-02-09 09:46:01,Fortaleza,Brasília,2025-06-13,2025-06-18,economy,16,PRT0019,181.81
1ec9f104-aa7d-4825-84f8-023edb2393df,e1908798-bc09-47e4-b19f-f828e02af8a3,2025-02-05 17:05:22,FLORIANÓPOLIS,Bogotá,2025-03-11,2025-03-14,economy,3,PRT0004,614.7
35ecea6f-c37a-441c-b4b3-863dbaaf4624,7379b93c-16ea-40d2-b3c4-4e03d201c585,2024-12-20 19:43:15,Recife,,2025-02-03,2025-02-12,economy,2,,668.46
1e65f462-808f-4175-931e-ed7b716380fb,320dc97a-ab0c-4128-aac8-917b2576f127,2025-03-19 12:53:47,São paulo,Belo Horizonte,2025-04-30,2025-05-04,,3,PRT0018,1279.3
88fe199c-2a30-432c-99ee-99baff672beb,f4ff6b5d-6c53-4957-84a1-e43c890a0b30,2025-03-13 04:31:41,São Paulo,,2025-05-02,2025-05-08,compact,16,,1705.24
88c83e9d-8a64-4b0b-a76d-904a26a16c1e,87ba2afc-5bd2-4c08-8a50-bf8760ad43bb,2025-03-24 10:14:47,Fortaleza,Cancún,2025-03-26,2025-03-31,luxury,25,PRT0015,1401.16
e6151341-a77f-4a5a-8c47-d4ec07621193,414c2cc1-c930-463f-abae-bbc4402a380a,2024-12-13 14:14:43,Curitiba,,2024-12-20,2024-12-26,economy,,PRT0008,480.58
fe9d9b6b-c840-484a-bd35-2cf16c2925b1,1de7620e-fd15-45bb-8653-f4633eccce4c,2024-12-21 20:23:36,Buenos Aires,,2025-01-11,2025-01-22,pickup,7,,873.6
5a470210-31a4-4a90-9cc8-48b8b3ffad8a,84f63394-b44e-47e2-bdd5-fd2329525972,2024-12-05 20:32:22,Belo Horizonte,Lima,2025-02-20,2025-03-05,compact,19,,424.41
dd570a87-f600-41c8-b742-e858f1154a79,1c5000ad-08e3-496c-83a0-82fb904837f5,2024-11-18 10:37:38,Florianópolis,Salvador,2025-01-23,2025-02-02,minivan,4,PRT0001,641.49
a926ea68-acb7-421b-ae3b-84e180e3a145,c017ecf7-4815-4eb1-822f-3c60f06621bb,2024-11-08 04:05:10,Bogotá,Curitiba,2025-01-28,2025-02-01,pickup,9,PRT0012,841.67
281b1932-a62c-4124-9d6a-1ea3f1214114,60eda207-287b-4fb1-8d86-fc5549a2b107,2024-11-10 13:10:53,rio de janeiro,,2024-12-31,2025-01-07,luxury,22,PRT0016,1032.64
f2b9efd8-2404-49fa-8ca2-8b9004b5f316,f63cd79c-4ab7-4b9b-ad3d-6c038882f5e2,2025-03-03 16:06:23,FLORIANÓPOLIS,Rio de Janeiro,2025-04-03,2025-04-05,minivan,37,PRT0010,98.51
8f3deab0-c255-4a72-b5a6-e72d561f20d7,e7ea0269-673d-4229-adab-bf60e80f5dbb,2024-11-15 18:24:33,São Paulo,rio de janeiro,2024-12-20,2024-12-30,pickup,32,PRT0003,1627.24
7ee15cc1-976a-4db8-8d47-f34d1f1a088d,82a638c5-5606-4895-9406-c00dbd38cefd,2024-11-28 16:44:08,Salvador,Lima,2024-12-14,2024-12-26,minivan,31,,
778dbe34-da1b-4d84-96d7-f1e0fe46574d,8c15d108-30f3-47c4-a49c-c556eea51170,2024-11-11 10:57:44,Fortaleza,,2024-12-29,2024-12-30,minivan,0,,847.83
08b4f758-d1ac-4333-83d0-988b75a6e1ec,17d07bdf-964c-494a-8085-89d0a2de8fab,2024-10-11 03:02:54,Curitiba,Bogotá,2024-12-25,2025-01-08,minivan,21,,1386.01
60d8697a-2b30-4c72-8c04-91a09407f522,7b152f4b-cb28-4b44-a23c-417c4672f8d3,2024-11-14 19:37:58,São paulo,São Paulo,2024-12-09,2024-12-19,economy,4,,1560.62
0010f473-a504-445c-8786-5b1a62d760cc,4f8257fb-928e-4aa7-91c5-c3e16e5b34c9,2025-01-16 20:37:36,Bogotá,Curitiba,2025-01-29,2025-02-05,,13,PRT0014,962.49
aa4d8039-7afa-4fcb-a284-c406736b7a1c,d49f8901-75f0-49de-8cb1-f12f108f0458,2025-02-27 20:16:24,São Paulo,Brasília,2025-03-14,2025-03-17,compact,12,PRT0005,928.54
41b8f6d9-99ff-4aaf-bd77-d3a035d7619c,3bd0c4c4-5983-439c-b7fb-be8a956f4836,2024-10-05 18:54:15,rio de janeiro,Brasília,2024-11-17,2024-11-29,economy,24,PRT0018,1412.23
190a235f-8792-4fb8-b32f-f6220107ee61,b0bf6709-c504-4da8-8519-c2b79a8cf2b7,2025-01-25 12:40:39,Curitiba,São Paulo,2025-01-31,2025-02-11,pickup,8,,
415e3e49-12a1-4754-aa0c-7cb072a18f7a,ba6947f4-88bd-41c3-88d4-bbaf10c1cc98,2025-03-05 21:41:47,Santiago,,2025-04-30,2025-05-03,compact,34,PRT0009,525.91
