session_id,user_id,started_at,ended_at,channel,device,country,page_views,utm_source,utm_campaign,is_bot
28b5b573-835b-44a5-8b46-acd4e99b6d26,,2024-11-14 10:56:45,2024-11-14 11:01:26,social_organic,mobile,br,8,instagram,camp_7,False
cede5c6b-c331-4d0c-864d-aeda0ef036f4,06dd9b52-6ade-4c24-82ed-b74cb15c092b,2024-12-19 19:52:31,2024-12-19 20:24:28,google_organic,tablet,AR,8,email,,False
19b4f375-5bd0-4dc2-b001-214b10fe5f39,,2025-03-19 19:23:59,2025-03-19 19:29:12,referral,desktop,CO,6,instagram,camp_26,False
c6fa4db9-15c2-4284-8edc-811968d64d18,892fb4b2-a134-48d5-991c-2ff8db124b07,2024-10-01 10:02:41,2024-10-01 10:29:25,referral,Mobile,CL,7,google,,False
5d72c252-a2bb-4c3c-bcdb-6b34b116dfcc,70f3a771-2cd9-4d5b-ac7d-c01911710bb3,2024-10-10 17:40:48,2024-10-10 18:20:45,google_organic,desktop,AR,22,,camp_37,False
4117cc20-0a6b-4d3a-a64e-90df2b625819,598a6474-24c8-4967-a647-4c37a8447173,2025-01-29 06:31:37,2025-01-29 06:37:17,affiliate,tablet,CO,9,,camp_30,False
863ed530-7b96-4573-97d5-c5463b3d0517,24244f5e-b8cf-41df-a5d7-a11e80514437,2024-10-15 02:04:31,2024-10-15 02:05:14,email,mobile,PE,3,facebook,camp_29,False
da887a8f-f8aa-4a4c-b618-2990f94fa4b0,bba35c40-aaa8-417a-93dc-a4c9cd135e9f,2025-01-27 18:37:29,2025-01-27 19:32:39,google_organic,mobile,MX,4,,camp_18,False
3106660c-7bda-4ee3-9ecd-7e47a0b4f070,015d520e-2b03-4679-87a8-30ad1bcedc99,2024-12-06 13:56:16,2024-12-06 14:10:14,google_cpc,Mobile,MX,,bing,,False
c24add91-d612-4a9f-bdef-04bff9fd6f33,,2025-02-15 00:38:55,2025-02-15 01:08:11,direct,tablet,Br,5,google,camp_3,False
7c4f1433-5301-4584-8735-54656d70b83c,727e39dd-f3f9-445a-a570-a9c447eed742,2024-11-18 10:53:34,2024-11-18 11:39:10,direct,mobile,CL,6,google,camp_22,False
ee95d66b-ce5e-458e-a1c0-fe7e79be3c4c,f1b4ada6-6801-4a69-ace6-8612fa608887,2025-02-08 01:59:36,2025-02-08 02:58:40,google_organic,desktop,br,8,instagram,camp_15,False
66f443d7-ccb2-49b0-97c7-3f238befdc25,b6160059-b919-472f-815a-4bdf4ccff6d9,2024-12-17 08:59:09,2024-12-17 09:21:38,referral,DESKTOP,PE,1,facebook,,False
4da13704-6aa5-41cc-83e5-a501a77ca282,95458421-5aca-4e66-91cf-b8cda97fd32a,2024-12-07 03:01:07,2024-12-07 03:50:56,social_paid,mobile,MX,2,google,camp_35,False
bae0c9c7-6f8e-43df-ad5e-9279a7ec2051,,2025-02-21 02:50:40,2025-02-21 03:36:31,metasearch,desktop,MX,17,instagram,camp_45,False
efd75f58-e11f-4796-8543-d9ddd3eb1096,c5fbf47f-7a58-457a-8964-cb0a620ab9cf,2024-12-21 15:25:18,2024-12-21 16:10:46,referral,tablet,MX,7,email,camp_21,False
73b9d81c-9cd9-49fa-bbef-cf0e316f423c,53f7b508-de1e-4451-8049-b60a9d9c755f,2024-11-11 11:55:14,2024-11-11 12:30:12,metasearch,mobile,MX,8,,camp_16,False
04ea7e4b-f28d-406e-a477-2e55e24b2df1,8370af2e-6df2-48cc-a13e-fcb026a7de5b,2025-02-27 05:25:11,2025-02-27 05:30:14,social_organic,mobile,BR,25,google,,False
e72275d5-b492-4184-9241-8796ab91e6af,e8e00fdc-afa6-4947-a4e8-de42acc21729,2025-01-09 13:51:29,2025-01-09 14:23:16,direct,DESKTOP,Br,20,instagram,camp_47,False
bf924128-ca8b-4565-98b2-94ceb219d3e0,af8b67ee-c0d9-4d59-ba0b-0091d5ff3636,2025-03-26 02:14:57,2025-03-26 02:52:26,affiliate,tablet,Br,16,facebook,camp_46,False
f33e7b1d-391e-4452-be2d-dfc31e0123dd,d42c0565-d4de-47be-8b9a-a5d37ead5475,2024-12-02 01:57:16,2024-12-02 02:34:13,email,Mobile,PE,18,google,camp_27,False
8b70b7ff-5aa4-41ac-9591-979fe4186d0f,f3168ea3-1dbd-45c4-bdc7-4cde68b76a9b,2025-02-13 01:22:19,,metasearch,Mobile,US,18,email,camp_15,False
12c38cef-11e7-45da-a2d5-dbc2737e4570,0f0ac422-08b4-4d6c-bd26-dd558ab00084,2025-01-03 07:15:20,2025-01-03 07:17:23,direct,DESKTOP,BR,13,,camp_42,False
9d4d8b38-3c0a-4c99-a1f1-6d40cb0cfe1b,d55c8e44-2f47-4260-acc5-0d834fafeb61,2024-11-05 06:55:07,2024-11-05 06:58:37,social_paid,Mobile,MX,3,,camp_23,False
78304dbc-ea00-4533-abb3-d92187e34dfd,0b4edf03-d579-4fd7-90fc-b91dc8486ae1,2025-02-04 13:23:48,,direct,Mobile,AR,19,instagram,camp_50,False
4aa1fcf9-b2c0-439f-ad98-a097e7c7a611,21d9bee1-f4e5-4a6a-a776-8657c609ef4a,2025-02-23 05:35:10,2025-02-23 06:24:17,google_cpc,DESKTOP,US,13,,camp_45,False
2a12946a-9287-436a-9b9b-1f49068135cc,e3531764-6256-4564-aa4f-73749bf76cac,2025-02-13 09:09:17,2025-02-13 10:02:06,google_cpc,Mobile,PE,3,,camp_27,False
8404ffb9-3042-44e8-a7e6-b7fb7eed10da,2677fdf4-1fe5-4124-a13e-e00a980b1642,2024-12-10 07:55:06,2024-12-10 08:38:34,referral,tablet,Br,25,instagram,camp_38,False
61873db9-dd70-441f-a0e3-5e6f07ae9872,e85be2bf-2577-43fe-a2fb-a7140aaed5a4,2025-03-11 07:29:13,2025-03-11 07:35:12,social_paid,Mobile,PE,6,facebook,camp_22,False
303b8048-0b58-4dce-9aa2-97387d57fb85,6deccbc2-a126-4193-8d78-36d16bd32cf9,2025-03-20 21:35:51,2025-03-20 21:54:47,social_paid,mobile,br,21,instagram,camp_6,False
1720509b-d882-46a0-a608-c7191e409fde,03fe1ed1-233f-48f4-84dd-5e9838cca80e,2024-11-17 05:53:03,2024-11-17 06:14:02,social_paid,DESKTOP,PE,12,facebook,,False
b19760d5-c9ee-43fc-8e45-1765ecb0775a,e8770034-32ac-406b-84fa-fef67bba12b1,2024-10-24 05:09:55,2024-10-24 06:00:42,affiliate,DESKTOP,MX,4,facebook,camp_12,False
3269c2af-5896-48a8-97ae-fe7c0eb0970f,73266f5e-3575-42c1-8051-24af9d1dae18,2024-10-25 13:55:09,2024-10-25 14:13:57,direct,Mobile,AR,1,instagram,,False
5dc324ef-1e7f-45cb-9601-05e19bf43d59,ad04eef0-26da-44ee-a10d-2c9c1490e69b,2025-03-17 07:55:12,2025-03-17 08:27:53,google_cpc,DESKTOP,MX,3,google,camp_27,False
4a80434a-d140-44b9-a515-f12ec6f8afff,dcc62b57-c473-4249-a73e-f52ab192780d,2024-11-13 19:46:41,2024-11-13 20:39:43,social_paid,DESKTOP,BR,20,google,camp_14,False
4790bead-7b3e-4895-9810-e16a652cc40f,,2024-10-16 18:21:39,,social_organic,Mobile,MX,2,,,False
4e44a4f6-5079-43ef-b99c-1a38203f0053,e8ad6b3a-442a-4d3c-9fe2-c9a52991b166,2024-11-21 08:54:50,2024-11-21 09:48:41,social_paid,mobile,CL,9,,camp_20,False
cbe91ef6-3a37-476b-bc83-62ccdd17ea6f,cb89ef02-11d1-4568-b60a-90495f30af7d,2025-03-28 21:04:06,2025-03-28 21:23:53,affiliate,Mobile,br,3,instagram,camp_39,False
1f636ed2-c60b-4dbf-9a00-524844c073b6,0d624002-d07a-4686-beeb-f87407739d1a,2025-02-08 22:27:29,2025-02-08 23:24:38,affiliate,mobile,br,17,facebook,camp_38,False
63183c35-68b4-4fd8-a30d-95a77f561c96,b6a92f16-d010-4955-b652-3bea037c3c1a,2024-10-18 17:13:13,2024-10-18 17:45:23,direct,Mobile,MX,22,,camp_6,False
f0f9a606-9fec-4c7c-abd3-1f6a4e32fc1e,75380f46-67ea-4a8f-ba14-af34b0f84759,2025-02-28 00:20:03,2025-02-28 00:47:43,,DESKTOP,PE,20,,camp_4,False
113ebf71-e1ac-47c4-b11c-a229dff1222f,23a476cd-9591-4581-ba40-f40e28c37c06,2025-03-30 03:16:06,2025-03-30 03:35:50,email,tablet,Br,1,google,camp_8,False
92d1dfc5-5a2b-4ec2-b06a-22c7cf520eb9,d72ee28f-974b-4864-878c-034e3a01074f,2025-03-11 14:04:05,2025-03-11 14:14:40,social_organic,mobile,br,18,bing,camp_33,False
a31dabc6-e2af-4a7c-8c1c-39538173724f,fb5c261a-9140-4aac-b4f3-6425b4b2d9b1,2024-10-14 13:20:18,2024-10-14 13:39:14,affiliate,tablet,MX,19,,camp_10,False
6990fddc-035c-47b2-99ba-0cf0c39211a9,78eb51de-29db-4cab-a72a-93a6edcf5ad6,2024-12-04 13:16:56,2024-12-04 13:54:41,email,mobile,US,8,,camp_48,False
