pais,dispositivo,total_sessoes,sessoes_com_busca,sessoes_com_reserva,taxa_sessao_para_busca_pct,taxa_busca_para_reserva_pct,taxa_conversao_geral_pct
BR,desktop,15639,7586,1531,48.51,20.18,9.79
BR,mobile,15327,7425,1568,48.44,21.12,10.23
BR,tablet,7709,3736,704,48.46,18.84,9.13
MX,mobile,5272,2566,493,48.67,19.21,9.35
PE,mobile,5256,2596,493,49.39,18.99,9.38
US,mobile,5247,2584,499,49.25,19.31,9.51
CO,desktop,5222,2548,521,48.79,20.45,9.98
US,desktop,5212,2581,488,49.52,18.91,9.36
PE,desktop,5175,2546,475,49.2,18.66,9.18
CL,desktop,5168,2507,478,48.51,19.07,9.25
CO,mobile,5165,2488,461,48.17,18.53,8.93
MX,desktop,5146,2511,496,48.8,19.75,9.64
AR,desktop,5132,2418,483,47.12,19.98,9.41
CL,mobile,5112,2511,458,49.12,18.24,8.96
AR,mobile,5103,2478,482,48.56,19.45,9.45
US,tablet,2643,1250,247,47.29,19.76,9.35
AR,tablet,2603,1292,237,49.64,18.34,9.1
PE,tablet,2595,1280,228,49.33,17.81,8.79
CL,tablet,2586,1268,239,49.03,18.85,9.24
MX,tablet,2556,1207,247,47.22,20.46,9.66
CO,tablet,2535,1226,228,48.36,18.6,8.99
