parceiro,quantidade_reservas,total_brl,total_usd,total_ars,total_clp,total_cop
Flexways,252,399381.5,77351.96,33094.82,36538.85,73349.16
Fox Rent A Car,241,422498.48,70958.87,32015.69,45482.28,63704.17
Dollar,238,318418.44,73090.57,60967.57,11641.61,71814.86
Movida,236,303695.58,124163.46,63903.32,28138.21,68164.83
Europcar,232,372053.77,70770.17,25985.09,8401.62,52803.45
Unidas,230,335005.78,75230.1,44210.28,29342.17,58894.09
Enterprise,229,390872.53,173355.06,63706.79,22850.73,120337.71
Alamo,226,269213.39,86797.57,28118.78,14029.99,80993.95
National,222,367468.99,78264.96,47497.88,29344.84,82433.6
Foco Rent a Car,220,394764.96,63807.82,72755.53,65628.77,57171.73
